"","topic","frequence"
"1","food",0.534113316682003
"2","service",0.368344945444985
"3","cheese",0.142631786512423
"4","server",0.137636387537794
"5","salad",0.108847114499803
"6","staff",0.145129485999737
"7","sauce",0.115420007887472
"8","pizza",0.0603391612988037
"9","drink",0.219271723412646
"10","beer",0.113448139871171
"11","price",0.175364795583016
