"","topic","frequence"
"1","food",0.141850420550125
"2","service",0.0754716981132075
"3","beer",0.0727438054103205
"4","menu",0.037053875880882
"5","cheese",0.0368265514889748
"6","burger",0.0506933393953171
"7","atmosphere",0.030688792907479
"8","fish",0.0259149806774267
"9","fries",0.0231870879745397
"10","brunch",0.0209138440554672
